2020-03-05 09:17:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=283142, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=6c7866ad6d5f7fa5eaa769362eadd75a_1583371024484-watermark) :84
2020-03-05 09:17:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=301178, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=a728072596884620ab1ec107c8ba562c_1583371024486-watermark) :84
2020-03-05 09:17:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=297144, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=1aeb5a7440ea02a627d008a14c94e731_1583371024471-watermark) :84
2020-03-05 09:17:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=287736, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=bc506b82abc981c8e712f9d0e17e103c_1583371024478-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=290407, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=1bcce52412ab23b760d31d36e63de41b_1583371024466-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=291170, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=c375df6d550ba7647718aa50df27892e_1583371024453-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=270507, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=c6c25cd096157595a0dd9c19a3bf130f_1583371024453-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=291078, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=9edbc7ea849515102cd5654439f4a457_1583371024458-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=302968, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=6aa12610ad466c6dc20334faaa5f4a41_1583371024433-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=309177, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=57ae47d7d2b21dc5475cbfc955b44793_1583371024435-watermark) :84
